TFC,0.4
IET,50
Innov R,0.1
Energy Consumption,17
Growith R,0.5
carrying K,15000
no agents,100
1,ResourceEnergy,11014.115362694516
1,Average Agent Energy,9.82
1,institution present,true
2,ResourceEnergy,11953.873106702424
2,Average Agent Energy,9.68
2,institution present,true
3,ResourceEnergy,10271.281292110205
3,Average Agent Energy,3785.41
3,institution present,true
4,ResourceEnergy,10835.223686732332
4,Average Agent Energy,9.71
4,institution present,true
5,ResourceEnergy,10282.085548648713
5,Average Agent Energy,3804.95
5,institution present,true
6,ResourceEnergy,10858.571124749335
6,Average Agent Energy,3769.23
6,institution present,true
7,ResourceEnergy,10479.932885150263
7,Average Agent Energy,3798.62
7,institution present,true
8,ResourceEnergy,11349.418232086853
8,Average Agent Energy,10.61
8,institution present,true
9,ResourceEnergy,11774.120902719382
9,Average Agent Energy,11
9,institution present,true
10,ResourceEnergy,14999.997888100612
10,Average Agent Energy,-20591.96
10,institution present,true
11,ResourceEnergy,12393.005540651922
11,Average Agent Energy,9.81
11,institution present,true
12,ResourceEnergy,12485.390711342161
12,Average Agent Energy,10.03
12,institution present,true
13,ResourceEnergy,10539.736830714137
13,Average Agent Energy,3767.56
13,institution present,true
14,ResourceEnergy,11453.479480154157
14,Average Agent Energy,3714.95
14,institution present,true
15,ResourceEnergy,11564.874362510274
15,Average Agent Energy,9.24
15,institution present,true
16,ResourceEnergy,10543.686683461836
16,Average Agent Energy,10.42
16,institution present,true
17,ResourceEnergy,14999.997902923154
17,Average Agent Energy,-23796.46
17,institution present,true
18,ResourceEnergy,11294.444039979695
18,Average Agent Energy,10.33
18,institution present,true
19,ResourceEnergy,11361.346915261567
19,Average Agent Energy,3676.95
19,institution present,true
20,ResourceEnergy,10027.844931952914
20,Average Agent Energy,3782.35
20,institution present,true
21,ResourceEnergy,11283.414222521731
21,Average Agent Energy,9.78
21,institution present,true
22,ResourceEnergy,12771.539151441631
22,Average Agent Energy,-24163.94
22,institution present,true
23,ResourceEnergy,11433.666127695196
23,Average Agent Energy,10.29
23,institution present,true
24,ResourceEnergy,9939.569959698812
24,Average Agent Energy,9.01
24,institution present,true
25,ResourceEnergy,12085.847795119242
25,Average Agent Energy,3695.61
25,institution present,true
26,ResourceEnergy,10960.493483881315
26,Average Agent Energy,9.24
26,institution present,true
27,ResourceEnergy,10818.132004607414
27,Average Agent Energy,3682.06
27,institution present,true
28,ResourceEnergy,10138.181191654588
28,Average Agent Energy,3791.42
28,institution present,true
29,ResourceEnergy,11433.210393356552
29,Average Agent Energy,9.18
29,institution present,true
30,ResourceEnergy,11466.286681288604
30,Average Agent Energy,9.98
30,institution present,true
